"jsonkey_HUC_12"	"rdfs:type"	"schema:name"	"schema:description"	"schema:sameAs"	"schema:image"	"hyf:contributingCatchment"	"hyf:nexusRealization"
"070200121110"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Minnesota River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/070200121110.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=05330920"
"070700051701"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Indian Creek-Wisconsin River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/070700051701.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=05407000"
"031601130201"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Mill Creek-Black Warrior River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/031601130201.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=02465000"
"160201020603"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of West Weber-Weber River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/160201020603.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=10141000"
"020401050911"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Buck Creek-Delaware River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/020401050911.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=01463500"
"102600080802"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Deer Creek-Smoky Hill River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/102600080802.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=06877600"
"180201041203"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Packer Lake-Sacramento River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/180201041203.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=11390500"
"170601080803"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Palouse Lake"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/170601080803.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=13351000"
"150302040410"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Bill Williams River-Lake Havasu"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/150302040410.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=09426620"
"101102050210"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Appel Creek"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/101102050210.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=06337000"
"120302030102"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Fields Bayou-Trinity River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/120302030102.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=08066500"
"130201011304"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Los Alamos Canyon-Rio Grande"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/130201011304.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=08313000"
"051202021001"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Lick Creek-White River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/051202021001.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=03374000"
"051302050708"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Demumbers Creek-Cumberland River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/051302050708.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=03438220"
"050200050808"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Streets Run-Monongahela River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/050200050808.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=03085000"
"140100051906"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of May Flat-Colorado River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/140100051906.json"	"https://waterdata.usgs.gov/nwis/inventory/?site_no=09163500"
