"jsonkey_HUC_12"	"rdfs:type"	"schema:name"	"schema:description"	"schema:sameAs"	"schema:image"	"hyf:contributingCatchment"	"hyf:nexusRealization"
"070200121110"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Minnesota River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/070200121110.json"	"elfie/usgs/nwissite/05330920.json"
"070700051701"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Indian Creek-Wisconsin River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/070700051701.json"	"elfie/usgs/nwissite/05407000.json"
"031601130201"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Mill Creek-Black Warrior River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/031601130201.json"	"elfie/usgs/nwissite/02465000.json"
"160201020603"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of West Weber-Weber River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/160201020603.json"	"elfie/usgs/nwissite/10141000.json"
"020401050911"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Buck Creek-Delaware River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/020401050911.json"	"elfie/usgs/nwissite/01463500.json"
"102600080802"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Deer Creek-Smoky Hill River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/102600080802.json"	"elfie/usgs/nwissite/06877600.json"
"180201041203"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Packer Lake-Sacramento River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/180201041203.json"	"elfie/usgs/nwissite/11390500.json"
"170601080803"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Palouse Lake"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/170601080803.json"	"elfie/usgs/nwissite/13351000.json"
"150302040410"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Bill Williams River-Lake Havasu"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/150302040410.json"	"elfie/usgs/nwissite/09426620.json"
"101102050210"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Appel Creek"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/101102050210.json"	"elfie/usgs/nwissite/06337000.json"
"120302030102"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Fields Bayou-Trinity River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/120302030102.json"	"elfie/usgs/nwissite/08066500.json"
"130201011304"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Los Alamos Canyon-Rio Grande"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/130201011304.json"	"elfie/usgs/nwissite/08313000.json"
"051202021001"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Lick Creek-White River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/051202021001.json"	"elfie/usgs/nwissite/03374000.json"
"051302050708"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Demumbers Creek-Cumberland River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/051302050708.json"	"elfie/usgs/nwissite/03438220.json"
"050200050808"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Streets Run-Monongahela River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/050200050808.json"	"elfie/usgs/nwissite/03085000.json"
"140100051906"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of May Flat-Colorado River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/140100051906.json"	"elfie/usgs/nwissite/09163500.json"
"100301012008"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Log Gulch-Missouri River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/100301012008.json"	"elfie/usgs/nwissite/06066500.json"
"170900120202"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Balch Creek-Willamette River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/170900120202.json"	"elfie/usgs/nwissite/14211720.json"
"180400012103"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Shag Slough-San Joaquin River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/180400012103.json"	"elfie/usgs/nwissite/11261500.json"
"010300032404"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Riggs Branch-Kennebec River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/010300032404.json"	"elfie/usgs/nwissite/01049265.json"
"102200031006"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Big Slough-Elkhorn River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/102200031006.json"	"elfie/usgs/nwissite/06800500.json"
"071000091206"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydroNexus"	"Outlet of Coppers Creek-Des Moines River"	"comment describing the outlet of each watershed"	NA	NA	"elfie/usgs/huc12/uswb/071000091206.json"	"elfie/usgs/nwissite/05490500.json"
